ds,yhat,yhat_lower,yhat_upper
2014-10-21,946.9591466975876,-1625.1106941167488,3610.468449610923
2014-10-22,46.157767963549304,-2468.208165998899,2692.832472019725
2014-10-23,1234.527957951882,-1252.569474586439,3663.5966969710075
2014-10-24,1806.3690062981902,-849.0525377646585,4261.66564433794
2014-10-25,1549.7305607303608,-1076.8113541397347,4245.144244438467
2014-10-26,1774.2954826889404,-496.2337205947298,4457.77638768941
2014-10-27,2069.2071444209387,-469.1075723739289,4662.255558915961
2014-10-28,1476.378625665851,-1205.3820544898,3953.4055826461677
2014-10-29,609.6086073846886,-1932.6545749088314,3190.25343678081
2014-10-30,1825.7852491833803,-562.7219672987056,4316.452244364259
2014-10-31,2418.8729416232018,-69.68167949294913,5073.046283412539
2014-11-01,2176.672867834868,-448.8024441792368,4821.110451797174
2014-11-02,2408.7117547475827,-63.529755388752875,4940.407285185657
2014-11-03,2704.073873867334,217.64415077319106,5417.090564509854
2014-11-04,2104.7135763215497,-370.6841398563316,4896.79314409272
2014-11-05,1224.5730011195196,-1531.934522577677,3659.7834231586576
2014-11-06,2420.7861053550873,-158.6273790624758,5009.738896703564
2014-11-07,2987.663796134144,309.3926686531426,5565.379115120704
2014-11-08,2713.451018990573,116.63085509671461,5260.517371865447
2014-11-09,2908.210140104855,297.28977455167933,5532.868597197851
2014-11-10,3161.645680092773,741.120598343457,5672.881389942747
2014-11-11,2516.4077259084506,172.13107277646844,5120.285474724635
2014-11-12,1587.1987477490634,-1169.3199322156038,4128.247118742307
2014-11-13,2731.9651047575267,128.51383007580594,5155.8956662577575
2014-11-14,3245.868201164789,481.16925977465695,5900.528916736183
2014-11-15,2918.026374442923,280.2668131074251,5693.656447997293
2014-11-16,3059.382121716804,224.81719417214134,5627.7389614894155
2014-11-17,3260.5100285066883,588.0557622039782,5992.57937599647
2014-11-18,2564.9030645311423,115.02552775304994,5205.30392311784
2014-11-19,1588.0623364087244,-767.2545186220318,4251.336399504713
2014-11-20,2688.6719608046074,-0.12968996202199778,5360.524741275277
2014-11-21,3162.5544073634755,673.1293538704751,5674.328956696639
2014-11-22,2799.3977790060317,329.18128030428744,5312.43935330663
2014-11-23,2910.610010212223,366.1968122143149,5526.906567019048
2014-11-24,3087.115700021903,281.23134825789003,5886.298181206649
2014-11-25,2372.6335653012784,-76.73861594128181,4932.306018688925
2014-11-26,1382.7598800880187,-1230.7795600146856,4029.042495089923
2014-11-27,2476.139811178239,-109.50495890107595,5025.747905247217
2014-11-28,2948.422135326674,413.47185167073417,5219.012293759976
2014-11-29,2588.988946570442,-89.88974899687685,5148.849116329888
2014-11-30,2708.815352630151,41.927656728302566,5358.990329918094
2014-12-01,2898.2748427791034,489.74910860722105,5297.7916503951965
2014-12-02,2200.428199254992,-236.6014490039573,4670.954814140352
2014-12-03,1230.1211328463633,-1245.2199923698101,3749.1162603222306
2014-12-04,2345.1722735183193,-106.54365222307787,4781.678017047701
2014-12-05,2840.3467055387728,190.20457489496278,5342.925517483798
2014-12-06,2504.1062271687024,-176.73181542989545,4914.831860521781
2014-12-07,2646.4909029070686,19.76104943741236,5138.909967643524
2014-12-08,2856.9470937313918,497.9142090498023,5496.216240142654
2014-12-09,2177.639310012112,-228.94727253611504,4761.842614141622
2014-12-10,1222.5705188006493,-1257.5222482312727,3920.799794866063
2014-12-11,2348.791979342811,-293.518625133555,5008.6891177669
2014-12-12,2850.397244918139,154.7821843236491,5549.947082476142
2014-12-13,2515.290979780837,-69.98813507565525,5046.722087510416
2014-12-14,2653.086661910031,181.58358655284323,5115.266846498556
2014-12-15,2852.947907190458,-41.04041030659697,5294.633272010476
2014-12-16,2156.9103702479983,-277.95077086404484,4618.034622862684
2014-12-17,1179.0085356932832,-1372.6012466897932,3559.122943284188
2014-12-18,2276.4882372630345,-473.11618352452405,4664.396905651006
2014-12-19,2743.7993959180335,173.4256491529873,5391.155765142228
2014-12-20,2369.359574011464,-197.50640738524328,4971.238688782688
2014-12-21,2463.442463214141,8.837163920640862,5272.92537570997
2014-12-22,2616.0061885979994,115.64288372872005,4994.557316333659
2014-12-23,1869.9986290627821,-593.3307904761889,4456.079655365733
2014-12-24,840.4644068801656,-1836.5565232836045,3586.433245839466
2014-12-25,1885.7348102145834,-651.6897384195338,4373.960201850245
2014-12-26,2301.3956444319506,-6.913261826256404,4971.765041171953
2014-12-27,1877.0241810906177,-693.9771989478253,4157.132287379248
2014-12-28,1924.049947891436,-799.8064581175661,4281.958949156512
2014-12-29,2033.5549066303072,-726.2469077531431,4599.42685462817
2014-12-30,1249.550906664021,-1430.5946531103255,3806.7551729352576
2014-12-31,188.059759876704,-2406.4496844154837,2894.862774761713
2015-01-01,1208.277882396864,-1214.4050008103977,3964.219874954703
2015-01-02,1606.5211511510704,-1119.7398411716856,4106.678305780973
2015-01-03,1172.9417500295613,-1294.2701631912769,3695.295331606431
2015-01-04,1219.3722925912487,-1449.6585941355029,3569.861662445307
2015-01-05,1337.1132346443212,-1373.132376635117,3615.8823584405723
2015-01-06,570.2018404905958,-2057.4331643699797,2998.9702397971737
2015-01-07,-465.51167623301126,-2989.1631001759283,2233.077909031578
2015-01-08,588.8012736855347,-2016.0427284549305,3097.7253544726113
2015-01-09,1028.8980647172393,-1961.4877340087548,3519.340111553028
2015-01-10,644.1919563615656,-1881.3537441682527,3262.107699200478
2015-01-11,745.6109834112448,-1726.211407647954,3366.842045747764
2015-01-12,923.4043519055584,-1737.312502643265,3606.838671779636
2015-01-13,220.4341776218082,-2278.8727080418494,2875.1296637893547
2015-01-14,-748.7222894947975,-3430.519710400535,1917.6923135506227
2015-01-15,373.42152420864886,-2455.09139734619,2885.387491229757
2015-01-16,881.2427122826728,-1854.6178412811448,3516.003593581565
2015-01-17,562.7680632201523,-2144.915942443735,3204.9005135461375
2015-01-18,727.5655433299609,-1777.2840759736366,3424.816820871645
2015-01-19,964.5830065943394,-1724.776154637992,3580.682707860597
2015-01-20,315.471190391606,-2251.968071427621,3006.652417017985
2015-01-21,-606.2846682053737,-3248.697064477331,1899.9957505685202
2015-01-22,555.8561786175492,-1832.6230109678227,3127.5290986567047
2015-01-23,1095.4947397346534,-1373.948709596674,3705.3583547078347
2015-01-24,800.0711440490196,-1697.6678023500604,3395.141452548635
2015-01-25,978.7714219123982,-1814.902749736135,3477.654060874011
2015-01-26,1220.3767169376254,-1336.2939113941625,3783.343994881476
2015-01-27,566.5916916668768,-1968.9785852949185,3134.7702497576656
2015-01-28,-368.8237100593469,-2843.007347404139,2201.629481168797
2015-01-29,771.1615874348706,-1907.1104192005732,3228.6006529793062
2015-01-30,1280.84416302641,-1246.1135224674026,4030.143005025555
